Brand,model,kmDriven,Transmission,Owner,FuelType,Car_Age
Maruti Suzuki,Alto-K10,82000.0,Automatic,second,Petrol,18
Maruti Suzuki,Eeco,77738.0,Manual,second,Hybrid/CNG,8
Maruti Suzuki,Ertiga,22.0,Automatic,first,hybrid,5
Maruti Suzuki,Ertiga,69000.0,Automatic,second,hybrid,11
Kia,Seltos,68000.0,Manual,first,Diesel,6
Maruti Suzuki,Ertiga,64000.0,Manual,first,Hybrid/CNG,5
Maruti Suzuki,Wagon-R,90000.0,Manual,second,Petrol,17
Maruti Suzuki,Eeco,35000.0,Automatic,second,hybrid,2
Honda,City,80000.0,Automatic,second,Hybrid/CNG,15
Hyundai,Santro Xing,62000.0,Manual,second,Hybrid/CNG,12
Maruti Suzuki,Baleno,80000.0,Manual,second,hybrid,7
Mahindra,XUV700,39000.0,Automatic,first,Petrol,4
Maruti Suzuki,Baleno,90000.0,Manual,first,Diesel,9
Honda,New Accord,141000.0,Automatic,second,Petrol,18
Hyundai,i10,46000.0,Automatic,first,Petrol,16
Mahindra,XUV 300,45000.0,Manual,second,Petrol,5
Maruti Suzuki,Ertiga,110000.0,Automatic,second,Diesel,14
Honda,City,83000.0,Automatic,second,Petrol,14
Skoda,Superb,22000.0,Automatic,second,Petrol,8
Land Rover,Range Rover Sport,99000.0,Automatic,first,Diesel,8
Hyundai,Creta Facelift,41000.0,Automatic,first,Diesel,8
Volkswagen,Polo,87500.0,Manual,second,Petrol,13
Tata,Tiago,120.0,Manual,first,hybrid,2
Maruti Suzuki,Wagon-R,61800.0,Automatic,second,Petrol,10
Mahindra,XUV700,25095.0,Automatic,first,Diesel,3
Skoda,Rapid,41189.0,Automatic,first,Petrol,5
Maruti Suzuki,Wagon-R-1-0,78500.0,Automatic,second,hybrid,20
Honda,City,102300.0,Manual,second,Petrol,23
Skoda,Slavia,72000.0,Manual,first,Petrol,4
Maruti Suzuki,Eeco,74552.0,Manual,second,hybrid,6
Honda,City,98000.0,Manual,second,Petrol,25
Kia,Carnival,46000.0,Automatic,second,Diesel,5
Toyota,Corolla Altis,114000.0,Automatic,second,hybrid,14
Mahindra,Thar,70000.0,Manual,first,Diesel,5
Maruti Suzuki,Swift-Dzire,90000.0,Manual,second,Hybrid/CNG,8
Hyundai,Tucson,30000.0,Automatic,second,Diesel,6
BMW,X1,14000.0,Automatic,first,Petrol,5
Hyundai,Creta,19000.0,Manual,first,Petrol,4
Maruti Suzuki,Baleno,90000.0,Manual,second,Diesel,10
Maruti Suzuki,Wagon-R,80000.0,Manual,first,hybrid,18
Toyota,Innova Crysta,101029.0,Automatic,first,Diesel,10
Maruti Suzuki,Ciaz,53000.0,Automatic,first,hybrid,7
Hyundai,Elite i20,81000.0,Manual,first,Diesel,8
Renault,KWID,21000.0,Manual,first,Petrol,4
Maruti Suzuki,Ertiga,55000.0,Automatic,first,hybrid,3
Hyundai,Verna,64000.0,Manual,first,Diesel,10
Kia,Sonet,65000.0,Automatic,first,Diesel,5
Hyundai,Santro Xing,86000.0,Manual,second,hybrid,17
Tata,Nexon,129500.0,Automatic,first,Diesel,7
Maruti Suzuki,Dzire,44574.0,Automatic,first,Petrol,8
Hyundai,i20,64000.0,Manual,second,Petrol,16
Hyundai,Creta,80000.0,Automatic,second,Diesel,8
Nissan,Micra,54000.0,Automatic,second,Petrol,10
Hyundai,Accent,950000.0,Automatic,first,Petrol,15
Maruti Suzuki,Wagon-R,75000.0,Manual,second,Petrol,17
Toyota,Etios Liva,630000.0,Manual,second,Petrol,7
Honda,City,58000.0,Automatic,second,Hybrid/CNG,11
Maruti Suzuki,Celerio,200000.0,Automatic,first,hybrid,10
Maruti Suzuki,Swift-Dzire,180000.0,Automatic,first,Hybrid/CNG,9
Tata,Tiago,84648.0,Manual,first,Petrol,10
Kia,Seltos,65000.0,Manual,first,Diesel,6
Skoda,Rapid,36000.0,Automatic,first,Petrol,9
Maruti Suzuki,Wagon-R,106000.0,Manual,second,Hybrid/CNG,12
Hyundai,Tucson,72315.0,Automatic,second,Diesel,9
Hyundai,i10,69870.0,Manual,second,Petrol,9
Maruti Suzuki,Ertiga,45000.0,Manual,first,Hybrid/CNG,8
Hyundai,i10,26000.0,Automatic,first,Petrol,13
BMW,X3,40000.0,Automatic,first,Diesel,8
Maruti Suzuki,Celerio,65000.0,Manual,first,Hybrid/CNG,12
Maruti Suzuki,Swift-Dzire,56000.0,Manual,second,Diesel,9
Honda,City ZX,119000.0,Automatic,second,Hybrid/CNG,18
Toyota,Fortuner,193000.0,Manual,second,Diesel,15
Maruti Suzuki,Ertiga,65000.0,Manual,second,Diesel,10
Audi,Q3,72000.0,Automatic,second,Diesel,9
Kia,Sonet,32550.0,Manual,first,Petrol,6
Mahindra,XUV700,75000.0,Automatic,first,Diesel,4
Toyota,Fortuner,38351.0,Manual,first,Diesel,5
Maruti Suzuki,Ertiga,63000.0,Automatic,second,hybrid,7
BMW,5 Series,58400.0,Automatic,first,Diesel,16
Tata,Safari,135241.0,Automatic,first,Diesel,5
Renault,Duster,110000.0,Manual,second,Diesel,12
Maruti Suzuki,Ertiga,87000.0,Manual,second,hybrid,7
Honda,City ZX,75000.0,Automatic,first,hybrid,18
Volkswagen,Vento,112000.0,Manual,second,Diesel,14
Volkswagen,Polo,90000.0,Manual,second,Diesel,11
Honda,Civic,43000.0,Automatic,second,hybrid,20
Hyundai,Grand i10 Nios,68000.0,Manual,second,hybrid,5
Maruti Suzuki,Wagon-R-1-0,65000.0,Manual,second,Petrol,14
Maruti Suzuki,Eeco,49000.0,Manual,second,Hybrid/CNG,7
Maruti Suzuki,Ertiga,68000.0,Manual,second,Hybrid/CNG,13
Hyundai,Grand i10 Nios,55000.0,Manual,first,Hybrid/CNG,5
Toyota,Etios Liva,92459.0,Manual,first,Diesel,9
Volkswagen,Polo,113000.0,Manual,first,Diesel,13
Maruti Suzuki,Swift-Dzire,100000.0,Automatic,second,hybrid,9
Maruti Suzuki,Alto,83000.0,Manual,second,Petrol,16
Maruti Suzuki,Ertiga,91000.0,Manual,first,Diesel,7
Maruti Suzuki,Wagon-R,66000.0,Automatic,second,Petrol,11
Toyota,Fortuner,75000.0,Automatic,first,Diesel,8
Renault,KWID,42000.0,Manual,first,Petrol,4
Maruti Suzuki,Wagon-R-1-0,70000.0,Manual,first,Hybrid/CNG,12
Ford,Figo,46200.0,Manual,first,Petrol,13
Maruti Suzuki,Ertiga,44000.0,Manual,first,hybrid,3
Skoda,Rapid,66000.0,Automatic,second,Diesel,11
BMW,5 Series,82000.0,Automatic,second,Diesel,9
Hyundai,Eon,38000.0,Manual,first,Petrol,12
Hyundai,Grand i10,65000.0,Manual,first,Petrol,11
Hyundai,Creta,43000.0,Manual,second,Diesel,6
Maruti Suzuki,Ciaz,13000.0,Automatic,first,Petrol,5
Mercedes-Benz,S-Class,29000.0,Automatic,second,Diesel,7
Hyundai,i20,51000.0,Manual,second,Hybrid/CNG,16
Ford,Ecosport,45200.0,Manual,second,Petrol,13
Hyundai,Verna,125000.0,Manual,first,Diesel,18
Mercedes-Benz,C-Class,68888.0,Automatic,second,Diesel,10
Skoda,Fabia,88000.0,Automatic,second,Petrol,16
